"title","weekend_gross","opening_date"
"Harry Potter and the Sorceror's Stone", 90294621, 11-18-2001
"Harry Potter and the Chamber of Secrets", 88357488, 11-17-2002
"Harry Potter and the Prisoner of Azkaban", 93687367, 06-06-2004
"Harry Potter and the Goblet of Fire", 102685961, 11-20-2005
"Harry Potter and the Order of the Phoenix", 77108414, 07-15-2007
"Harry Potter and the Half Blood Prince", 77835727, 07-19-2009
"Harry Potter and the Deathly Hallows: Part 1", 125017372, 11-21-2010
"Harry Potter and the Deathly Hallows: Part 2", 169189427, 07-17-2011
